"","x"
"1",0.503051572956531
"2",0.467949748241282
"3",0.537415775661465
"4",0.566228183800862
"5",0.571591268123886
"6",0.553653758248158
"7",0.566674318631739
"8",0.569985542316668
"9",0.517202491942018
"10",0.50907110180968
"11",0.488323898222324
"12",0.473497680265007
"13",0.480339467402232
"14",0.495999798534424
"15",0.497664700413851
"16",0.489179549719878
"17",0.474233566648522
"18",0.446247217594622
"19",0.477786094248253
"20",0.519470117631522
"21",0.528315310925274
"22",0.513197056181791
"23",0.514761825558768
"24",0.548887986229898
"25",0.538873902995449
"26",0.548455691721517
"27",0.531780248271632
"28",0.508499312756219
"29",0.48888237437542
"30",0.485930535616201
"31",0.45480324586168
"32",0.466538926031744
"33",0.4513634438453
"34",0.426939671254163
"35",0.43981238985144
"36",0.448348389856429
"37",0.479336079778191
"38",0.494899889956057
"39",-0.0810396025970382
"40",-0.169663131136849
"41",-0.223596582761554
"42",-0.213264097718884
"43",-0.236755974937744
"44",-0.212939991374035
"45",-0.182596951747936
"46",-0.145705471718578
"47",-0.142245050116193
"48",-0.196746228309449
"49",-0.273136895842072
"50",-0.283482481637306
"51",-0.348530317625566
"52",-0.586409716316927
"53",-0.58356931893175
"54",-0.497380083118308
"55",-0.443705480663458
"56",-0.403069206963333
"57",-0.414604856592474
"58",-0.383313090868204
"59",-0.404198969966906
"60",-0.384172791202519
"61",-0.319547281508824
"62",-0.338990424693944
"63",-0.291667520344747
"64",-0.24753203086026
"65",-0.180175147464075
"66",-0.101209443232156
"67",-0.0495961920477738
"68",-0.0623069194678971
"69",-0.0889775892447661
"70",-0.103348507765575
"71",-0.0913757665306596
"72",-0.0876703087893902
"73",-0.0930690675237078
"74",-0.123983364634299
"75",-0.160311014323529
"76",-0.174767414839576
"77",-0.710323419590633
"78",-0.643602827961068
"79",-0.58269311617771
"80",-0.543881492070641
"81",-0.491265495983106
"82",-0.461207136325668
"83",-0.402960498837625
"84",-0.358289547504208
"85",-0.355756506578016
"86",-0.346055527110012
"87",-0.317418275396407
"88",-0.322266689221114
"89",-0.281083913873539
"90",-0.190163827364729
"91",-0.139507001004602
"92",-0.143736762877874
"93",-0.134534232349327
"94",-0.109701178170337
"95",-0.0797028053629746
"96",-0.00893118672225931
"97",0.0285135864711403
"98",0.0276264962873204
"99",-0.00780978183879728
"100",-0.00662550872636235
"101",-0.00888375964625416
"102",-0.0354483638131533
"103",-0.0228598061560997
"104",-0.00155198929986844
"105",0.0316951240171971
"106",0.050028339072864
"107",0.0341933794895855
"108",0.0176595649716023
"109",-0.00804501750281078
"110",-0.0372845871887318
"111",-0.0389091198598373
"112",-0.0243630032356908
"113",0.0171876521625255
"114",0.0596493732537054
"115",1.13972003753416
"116",1.17608022678898
"117",1.08101301041136
"118",1.15885504589019
"119",1.15318662901029
"120",1.06852576777029
"121",1.0507447563902
"122",0.884746986473035
"123",0.96728983636934
"124",1.0338465485075
"125",1.04521136882316
"126",1.08803654135923
"127",1.05306658443797
"128",1.1299941487754
"129",1.17397239714519
"130",1.15127628943706
"131",1.13604318385937
"132",1.1594065414127
"133",1.15138333065584
"134",1.0418362527157
"135",0.972598363720181
"136",0.939916073710637
"137",0.866274314746149
"138",0.844455642176501
"139",0.800532311820288
"140",0.7328027049953
"141",0.663401355895967
"142",0.662928901079202
"143",0.576049233037071
"144",0.539766275964624
"145",0.516535902912136
"146",0.527355776681261
"147",0.539719734421998
"148",0.541897143094929
"149",0.524291074856343
"150",0.529244590335137
"151",0.541171745208398
"152",0.537499863245652
"153",-0.174686191542434
"154",-0.312278649178727
"155",-0.436804143128205
"156",-0.585580421138254
"157",-0.63956522638338
"158",-0.60450105845973
"159",-0.598069428426886
"160",-0.55659275956519
"161",-0.526174835661651
"162",-0.537867619553482
"163",-0.468861241120955
"164",-0.467443267320341
"165",-0.424385268088268
"166",-0.394601963978646
"167",-0.423737049258117
"168",-0.463356109631741
"169",-0.476858286949524
"170",-0.487603633704795
"171",-0.503896076490335
"172",-0.497788876767426
"173",-0.488228845707359
"174",-0.46971986281984
"175",-0.390750002782412
"176",-0.361693156987451
"177",-0.33241970303925
"178",-0.34228975599195
"179",-0.343964914621567
"180",-0.367289375606146
"181",-0.34794029577697
"182",-0.376819337382514
"183",-0.351845215688875
"184",-0.341020301953472
"185",-0.310018910912269
"186",-0.284011001164198
"187",-0.279808129676383
"188",-0.276414866498341
"189",-0.297301185126321
"190",-0.296957849710998
"191",-0.676722396760595
"192",-0.518485366753621
"193",-0.375334944005358
"194",-0.382357218763274
"195",-0.357191199829941
"196",-0.343531339859008
"197",-0.433792196009484
"198",-0.394144750001727
"199",-0.460315935955498
"200",-0.462248275344238
"201",-0.474118854686049
"202",-0.488341783445479
"203",-0.479406552252827
"204",-0.454818439649519
"205",-0.524823728364575
"206",-0.535982883529017
"207",-0.555178750545586
"208",-0.60527974016886
"209",-0.630965686458311
"210",-0.671273215989331
"211",-0.63699944544233
"212",-0.626846972157389
"213",-0.662929074174885
"214",-0.686034537998642
"215",-0.706435231785489
"216",-0.655988246051452
"217",-0.64818173592586
"218",-0.70137740569725
"219",-0.699090243604947
"220",-0.636598893803282
"221",-0.564709723329757
"222",-0.567185457965558
"223",-0.581643483321557
"224",-0.559870917206769
"225",-0.55231714764785
"226",-0.552831745823241
"227",-0.580083277699261
"228",-0.620323861904837
